DataSeries,2024Aug,2024Jul,2024Jun,2024May,2024Apr,2024Mar,2024Feb,2024Jan,2023Dec,2023Nov,2023Oct,2023Sep,2023Aug,2023Jul,2023Jun,2023May,2023Apr,2023Mar,2023Feb,2023Jan,2022Dec,2022Nov,2022Oct,2022Sep,2022Aug,2022Jul,2022Jun,2022May,2022Apr,2022Mar,2022Feb,2022Jan,2021Dec,2021Nov,2021Oct,2021Sep,2021Aug,2021Jul,2021Jun,2021May,2021Apr,2021Mar,2021Feb,2021Jan,2020Dec,2020Nov,2020Oct,2020Sep,2020Aug,2020Jul,2020Jun,2020May,2020Apr,2020Mar,2020Feb,2020Jan,2019Dec,2019Nov,2019Oct,2019Sep,2019Aug,2019Jul,2019Jun,2019May,2019Apr,2019Mar,2019Feb,2019Jan,2018Dec,2018Nov,2018Oct,2018Sep,2018Aug,2018Jul,2018Jun,2018May,2018Apr,2018Mar,2018Feb,2018Jan,2017Dec,2017Nov,2017Oct,2017Sep,2017Aug,2017Jul,2017Jun,2017May,2017Apr,2017Mar,2017Feb,2017Jan,2016Dec,2016Nov,2016Oct,2016Sep,2016Aug,2016Jul,2016Jun,2016May,2016Apr,2016Mar,2016Feb,2016Jan
Jobseekers Assisted,44433,38583,32245,26663,21268,15333,10711,6078,66055,62768,58913,54112,50422,43304,37159,31343,25240,19861,12532,5526,62681,59532,54576,49744,43590,38214,32767,27138,22048,17651,11445,6976,73428,69481,65956,62147,57567,51761,46214,39932,34282,27927,19429,12128,74822,67479,61374,54432,46698,38751,32351,22239,16908,12851,7989,4069,45431,42200,39243,35674,32312,28912,25277,22417,18790,14485,7253,3646,38517,36217,33912,31332,28862,26155,22598,20304,16595,12284,7597,4347,35367,32737,29744,26408,23142,19872,16970,14349,11285,8507,5409,2410,25830,23878,21946,19972,18044,15717,13408,11278,8941,6702,4344,2319
    Male,22725,19819,16598,13751,10986,8008,5598,3132,34165,32467,30426,27844,25891,22300,19088,16031,12864,10032,6284,2712,31728,30152,27646,25179,22094,19396,16640,13722,11252,8980,5899,3584,38034,35824,33991,32002,29523,26144,23366,19926,16877,13806,9618,6012,38777,35326,32391,29039,25173,21069,17736,12209,9126,6813,4164,2068,24326,22491,20899,19009,17151,15346,13402,11829,9872,7596,4014,1806,20657,19475,18238,16829,15481,13991,12161,10936,8929,6459,3786,2213,18478,17064,15487,13772,12199,10541,9040,7637,6000,4533,2878,1257,14002,12947,11892,10764,9768,8465,7250,6093,4770,3569,2333,1255
    Female,21686,18745,15640,12905,10275,7321,5111,2945,31883,30253,28448,26236,24500,20973,18042,15283,12347,9802,6223,2795,30873,29305,26859,24498,21430,18745,16066,13356,10737,8615,5501,3351,35366,33638,31954,30145,28044,25617,22848,20006,17405,14121,9811,6116,36043,32151,28981,25391,21523,17681,14615,10030,7782,6038,3825,2001,21104,19708,18343,16664,15160,13565,11874,10587,8917,6888,3239,1840,17859,16742,15674,14503,13381,12164,10437,9368,7666,5825,3811,2134,16884,15669,14253,12632,10939,9327,7926,6708,5285,3974,2531,1153,11828,10931,10054,9208,8276,7252,6158,5185,4171,3133,2011,1064
    Unknown,22,19,7,7,7,4,2,1,7,48,39,32,31,31,29,29,29,27,25,19,80,75,71,67,66,73,61,60,59,56,45,41,28,19,11,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Placements,26677,22503,18427,14777,10942,7533,4917,2039,39460,37238,34769,32050,28146,26034,21951,17778,14261,10066,5838,2193,38276,36329,32889,29662,25811,22341,19144,15588,12246,9028,5589,2461,43211,40172,37059,33212,29240,25245,20668,15249,10829,6342,4122,2610,24840,23077,20632,17696,14640,11928,9978,7830,6263,4822,3284,1717,20083,18514,16767,14516,12988,11289,9825,8305,6671,4574,2637,1581,19214,17961,16943,15670,14428,13028,11666,10550,8241,5629,3369,1795,15380,14566,12983,10972,9435,8081,6702,5371,3990,2969,2120,949,14428,13599,12620,11415,10355,9060,8123,6692,5321,3970,2700,1470
    Male,13803,11684,9588,7803,5849,4064,2701,1141,20083,18936,17765,16341,14326,13144,10971,8935,7172,4997,2878,1036,19469,18480,16697,14993,13053,11354,9776,7938,6343,4669,2942,1272,22603,20860,19197,17079,14893,12725,10417,7584,5403,3219,2079,1282,13751,12944,11740,10041,8330,6795,5689,4562,3647,2803,1947,997,11554,10654,9603,8389,7624,6671,5799,4886,3919,2674,1455,870,10827,10166,9637,8935,8249,7488,6717,6103,4814,3180,1720,928,8331,7863,6972,5912,5201,4454,3701,2966,2189,1664,1196,537,8022,7553,7011,6318,5759,5053,4540,3784,3009,2263,1558,832
    Female,12870,10816,8836,6972,5091,3467,2216,898,19377,18290,16993,15698,13809,12879,10969,8833,7079,5066,2959,1157,18800,17843,16187,14666,12756,10986,9368,7650,5903,4359,2647,1189,20608,19312,17862,16133,14347,12520,10251,7665,5426,3123,2043,1328,11089,10133,8892,7655,6310,5133,4289,3268,2616,2019,1337,720,8529,7860,7164,6127,5364,4618,4026,3419,2752,1900,1182,711,8387,7795,7306,6735,6179,5540,4949,4447,3427,2449,1649,867,7049,6703,6011,5060,4234,3627,3001,2405,1801,1305,924,412,6406,6046,5609,5097,4596,4007,3583,2908,2312,1707,1142,638
    Unknown,4,3,3,2,2,2,0,0,0,12,11,11,11,11,11,10,10,3,1,0,7,6,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
